[2024-06-12T04:06:28.324+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_congress_data.get_votes_from_downloaded_bills manual__2024-06-12T04:04:03.467149+00:00 [queued]>
[2024-06-12T04:06:28.331+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_congress_data.get_votes_from_downloaded_bills manual__2024-06-12T04:04:03.467149+00:00 [queued]>
[2024-06-12T04:06:28.332+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-06-12T04:06:28.341+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): get_votes_from_downloaded_bills> on 2024-06-12 04:04:03.467149+00:00
[2024-06-12T04:06:28.348+0000] {standard_task_runner.py:60} INFO - Started process 173 to run task
[2024-06-12T04:06:28.353+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'upload_congress_data', 'get_votes_from_downloaded_bills', 'manual__2024-06-12T04:04:03.467149+00:00', '--job-id', '41', '--raw', '--subdir', 'DAGS_FOLDER/upload_congress_data.py', '--cfg-path', '/tmp/tmp02fg6xj5']
[2024-06-12T04:06:28.357+0000] {standard_task_runner.py:88} INFO - Job 41: Subtask get_votes_from_downloaded_bills
[2024-06-12T04:06:28.411+0000] {task_command.py:423} INFO - Running <TaskInstance: upload_congress_data.get_votes_from_downloaded_bills manual__2024-06-12T04:04:03.467149+00:00 [running]> on host 57ce92a431c8
[2024-06-12T04:06:28.492+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='upload_congress_data' AIRFLOW_CTX_TASK_ID='get_votes_from_downloaded_bills' AIRFLOW_CTX_EXECUTION_DATE='2024-06-12T04:04:03.467149+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-06-12T04:04:03.467149+00:00'
[2024-06-12T04:06:35.281+0000] {logging_mixin.py:188} INFO - An exception occurred 'rollcall-vote' Failed to save one or more votes for {bill_type} {bill_number}
[2024-06-12T04:06:35.429+0000] {logging_mixin.py:188} INFO - An exception occurred 'rollcall-vote' Failed to save one or more votes for {bill_type} {bill_number}
[2024-06-12T04:06:35.429+0000] {get_data.py:98} INFO - Opened bill HJRES 67
[2024-06-12T04:06:35.430+0000] {get_data.py:98} INFO - Opened bill HJRES 73
[2024-06-12T04:06:35.430+0000] {get_data.py:98} INFO - Opened bill HJRES 72
[2024-06-12T04:06:35.430+0000] {get_data.py:98} INFO - Opened bill HJRES 66
[2024-06-12T04:06:35.430+0000] {get_data.py:98} INFO - Opened bill HJRES 99
[2024-06-12T04:06:35.431+0000] {get_data.py:98} INFO - Opened bill HJRES 154
[2024-06-12T04:06:35.431+0000] {get_data.py:98} INFO - Opened bill HJRES 140
[2024-06-12T04:06:35.431+0000] {get_data.py:98} INFO - Opened bill HJRES 3
[2024-06-12T04:06:35.431+0000] {get_data.py:98} INFO - Opened bill HJRES 165
[2024-06-12T04:06:35.431+0000] {get_data.py:98} INFO - Opened bill HJRES 159
[2024-06-12T04:06:35.432+0000] {get_data.py:98} INFO - Opened bill HJRES 80
[2024-06-12T04:06:35.432+0000] {get_data.py:98} INFO - Opened bill HJRES 94
[2024-06-12T04:06:35.432+0000] {get_data.py:98} INFO - Opened bill HJRES 43
[2024-06-12T04:06:35.432+0000] {get_data.py:98} INFO - Opened bill HJRES 57
[2024-06-12T04:06:35.432+0000] {get_data.py:98} INFO - Opened bill HJRES 56
[2024-06-12T04:06:35.433+0000] {get_data.py:98} INFO - Opened bill HJRES 42
[2024-06-12T04:06:36.492+0000] {get_data.py:98} INFO - Opened bill HJRES 95
[2024-06-12T04:06:36.493+0000] {get_data.py:98} INFO - Opened bill HJRES 81
[2024-06-12T04:06:36.493+0000] {get_data.py:98} INFO - Opened bill HJRES 158
[2024-06-12T04:06:36.494+0000] {get_data.py:98} INFO - Opened bill HJRES 164
[2024-06-12T04:06:36.494+0000] {get_data.py:98} INFO - Opened bill HJRES 166
[2024-06-12T04:06:36.495+0000] {get_data.py:98} INFO - Opened bill HJRES 97
