[2024-04-14T00:57:35.243+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_W000235.json to gs://congress_data/members/member_W000235.json
[2024-04-14T00:57:35.653+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_B001236.json to gs://congress_data/members/member_B001236.json
[2024-04-14T00:57:36.101+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_R000577.json to gs://congress_data/members/member_R000577.json
[2024-04-14T00:57:36.523+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_G000559.json to gs://congress_data/members/member_G000559.json
[2024-04-14T00:57:36.953+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_R000609.json to gs://congress_data/members/member_R000609.json
[2024-04-14T00:57:37.438+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_W000798.json to gs://congress_data/members/member_W000798.json
[2024-04-14T00:57:37.971+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_M001135.json to gs://congress_data/members/member_M001135.json
[2024-04-14T00:57:38.387+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_B001261.json to gs://congress_data/members/member_B001261.json
[2024-04-14T00:57:38.871+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_K000383.json to gs://congress_data/members/member_K000383.json
[2024-04-14T00:57:39.276+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_B001277.json to gs://congress_data/members/member_B001277.json
[2024-04-14T00:57:39.744+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_B001298.json to gs://congress_data/members/member_B001298.json
[2024-04-14T00:57:40.594+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_K000395.json to gs://congress_data/members/member_K000395.json
[2024-04-14T00:57:41.118+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_S001226.json to gs://congress_data/members/member_S001226.json
[2024-04-14T00:57:41.822+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_J000294.json to gs://congress_data/members/member_J000294.json
[2024-04-14T00:57:42.438+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_D000096.json to gs://congress_data/members/member_D000096.json
[2024-04-14T00:57:42.971+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_W000809.json to gs://congress_data/members/member_W000809.json
[2024-04-14T00:57:43.433+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_B000574.json to gs://congress_data/members/member_B000574.json
[2024-04-14T00:57:43.927+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_H001071.json to gs://congress_data/members/member_H001071.json
[2024-04-14T00:57:44.377+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_V000135.json to gs://congress_data/members/member_V000135.json
[2024-04-14T00:57:44.831+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_M001226.json to gs://congress_data/members/member_M001226.json
[2024-04-14T00:57:45.236+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_G000563.json to gs://congress_data/members/member_G000563.json
[2024-04-14T00:57:45.663+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_F000462.json to gs://congress_data/members/member_F000462.json
[2024-04-14T00:57:46.075+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_W000825.json to gs://congress_data/members/member_W000825.json
[2024-04-14T00:57:46.622+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_P000603.json to gs://congress_data/members/member_P000603.json
[2024-04-14T00:57:47.059+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_F000474.json to gs://congress_data/members/member_F000474.json
