[2024-06-30T19:31:21.251+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_congress_data.get_votes_from_downloaded_bills scheduled__2024-06-29T00:00:00+00:00 [queued]>
[2024-06-30T19:31:21.259+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_congress_data.get_votes_from_downloaded_bills scheduled__2024-06-29T00:00:00+00:00 [queued]>
[2024-06-30T19:31:21.259+0000] {taskinstance.py:2193} INFO - Starting attempt 2 of 2
[2024-06-30T19:31:21.276+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): get_votes_from_downloaded_bills> on 2024-06-29 00:00:00+00:00
[2024-06-30T19:31:21.284+0000] {standard_task_runner.py:60} INFO - Started process 801 to run task
[2024-06-30T19:31:21.288+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'upload_congress_data', 'get_votes_from_downloaded_bills', 'scheduled__2024-06-29T00:00:00+00:00', '--job-id', '18', '--raw', '--subdir', 'DAGS_FOLDER/upload_congress_data.py', '--cfg-path', '/tmp/tmpaalu6m6k']
[2024-06-30T19:31:21.292+0000] {standard_task_runner.py:88} INFO - Job 18: Subtask get_votes_from_downloaded_bills
[2024-06-30T19:31:21.395+0000] {task_command.py:423} INFO - Running <TaskInstance: upload_congress_data.get_votes_from_downloaded_bills scheduled__2024-06-29T00:00:00+00:00 [running]> on host 321f475acc45
[2024-06-30T19:31:21.531+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='upload_congress_data' AIRFLOW_CTX_TASK_ID='get_votes_from_downloaded_bills' AIRFLOW_CTX_EXECUTION_DATE='2024-06-29T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-06-29T00:00:00+00:00'
[2024-06-30T19:31:30.189+0000] {get_data.py:98} INFO - Opened bill HJRES 95
[2024-06-30T19:31:30.190+0000] {get_data.py:98} INFO - Opened bill HJRES 81
[2024-06-30T19:31:30.190+0000] {get_data.py:98} INFO - Opened bill HJRES 158
[2024-06-30T19:31:30.190+0000] {get_data.py:98} INFO - Opened bill HJRES 170
[2024-06-30T19:31:30.191+0000] {get_data.py:98} INFO - Opened bill HJRES 164
[2024-06-30T19:31:30.191+0000] {get_data.py:98} INFO - Opened bill HJRES 166
[2024-06-30T19:31:30.191+0000] {get_data.py:98} INFO - Opened bill HJRES 97
[2024-06-30T19:31:30.191+0000] {get_data.py:98} INFO - Opened bill HJRES 83
[2024-06-30T19:31:30.192+0000] {get_data.py:98} INFO - Opened bill HJRES 54
[2024-06-30T19:31:30.192+0000] {get_data.py:98} INFO - Opened bill HJRES 40
[2024-06-30T19:31:30.192+0000] {get_data.py:98} INFO - Opened bill HJRES 68
[2024-06-30T19:31:30.536+0000] {get_data.py:98} INFO - Opened bill HJRES 69
[2024-06-30T19:31:30.536+0000] {get_data.py:98} INFO - Opened bill HJRES 41
[2024-06-30T19:31:30.536+0000] {get_data.py:98} INFO - Opened bill HJRES 55
[2024-06-30T19:31:30.537+0000] {get_data.py:98} INFO - Opened bill HJRES 82
[2024-06-30T19:31:30.537+0000] {get_data.py:98} INFO - Opened bill HJRES 96
[2024-06-30T19:31:30.537+0000] {get_data.py:98} INFO - Opened bill HJRES 167
[2024-06-30T19:31:30.537+0000] {get_data.py:98} INFO - Opened bill HJRES 163
[2024-06-30T19:31:30.538+0000] {get_data.py:98} INFO - Opened bill HJRES 8
[2024-06-30T19:31:30.538+0000] {get_data.py:98} INFO - Opened bill HJRES 92
[2024-06-30T19:31:30.538+0000] {get_data.py:98} INFO - Opened bill HJRES 86
[2024-06-30T19:31:30.538+0000] {get_data.py:98} INFO - Opened bill HJRES 79
[2024-06-30T19:31:31.040+0000] {get_data.py:98} INFO - Opened bill HJRES 51
[2024-06-30T19:31:31.041+0000] {get_data.py:98} INFO - Opened bill HJRES 45
[2024-06-30T19:31:33.614+0000] {get_data.py:98} INFO - Opened bill HJRES 44
[2024-06-30T19:31:35.299+0000] {get_data.py:98} INFO - Opened bill HJRES 50
[2024-06-30T19:31:35.300+0000] {get_data.py:98} INFO - Opened bill HJRES 78
[2024-06-30T19:31:35.301+0000] {get_data.py:98} INFO - Opened bill HJRES 87
[2024-06-30T19:31:35.301+0000] {get_data.py:98} INFO - Opened bill HJRES 93
[2024-06-30T19:31:35.302+0000] {get_data.py:98} INFO - Opened bill HJRES 9
[2024-06-30T19:31:35.303+0000] {get_data.py:98} INFO - Opened bill HJRES 162
[2024-06-30T19:31:35.303+0000] {get_data.py:98} INFO - Opened bill HJRES 148
[2024-06-30T19:31:35.304+0000] {get_data.py:98} INFO - Opened bill HJRES 160
[2024-06-30T19:31:35.305+0000] {get_data.py:98} INFO - Opened bill HJRES 85
[2024-06-30T19:31:35.305+0000] {get_data.py:98} INFO - Opened bill HJRES 91
[2024-06-30T19:31:35.306+0000] {get_data.py:98} INFO - Opened bill HJRES 46
[2024-06-30T19:31:35.306+0000] {get_data.py:98} INFO - Opened bill HJRES 52
[2024-06-30T19:31:35.307+0000] {get_data.py:98} INFO - Opened bill HJRES 53
[2024-06-30T19:31:35.308+0000] {get_data.py:98} INFO - Opened bill HJRES 47
[2024-06-30T19:31:35.309+0000] {get_data.py:98} INFO - Opened bill HJRES 90
[2024-06-30T19:31:35.309+0000] {get_data.py:98} INFO - Opened bill HJRES 84
[2024-06-30T19:31:35.310+0000] {get_data.py:98} INFO - Opened bill HJRES 161
[2024-06-30T19:31:35.310+0000] {get_data.py:98} INFO - Opened bill HJRES 149
[2024-06-30T19:31:35.310+0000] {get_data.py:98} INFO - Opened bill HJRES 106
[2024-06-30T19:31:35.311+0000] {get_data.py:98} INFO - Opened bill HJRES 112
[2024-06-30T19:31:35.311+0000] {get_data.py:98} INFO - Opened bill HJRES 20
[2024-06-30T19:31:35.312+0000] {get_data.py:98} INFO - Opened bill HJRES 34
[2024-06-30T19:31:35.312+0000] {get_data.py:98} INFO - Opened bill HJRES 35
[2024-06-30T19:31:35.312+0000] {get_data.py:98} INFO - Opened bill HJRES 21
[2024-06-30T19:31:35.313+0000] {get_data.py:98} INFO - Opened bill HJRES 113
[2024-06-30T19:31:35.313+0000] {get_data.py:98} INFO - Opened bill HJRES 107
[2024-06-30T19:31:35.314+0000] {get_data.py:98} INFO - Opened bill HJRES 111
[2024-06-30T19:31:35.314+0000] {get_data.py:98} INFO - Opened bill HJRES 105
[2024-06-30T19:31:35.314+0000] {get_data.py:98} INFO - Opened bill HJRES 139
[2024-06-30T19:31:35.315+0000] {get_data.py:98} INFO - Opened bill HJRES 37
[2024-06-30T19:31:35.315+0000] {get_data.py:98} INFO - Opened bill HJRES 23
[2024-06-30T19:31:35.316+0000] {get_data.py:98} INFO - Opened bill HJRES 22
[2024-06-30T19:31:35.316+0000] {get_data.py:98} INFO - Opened bill HJRES 36
[2024-06-30T19:31:35.316+0000] {get_data.py:98} INFO - Opened bill HJRES 138
[2024-06-30T19:31:35.317+0000] {get_data.py:98} INFO - Opened bill HJRES 104
[2024-06-30T19:31:35.317+0000] {get_data.py:98} INFO - Opened bill HJRES 110
[2024-06-30T19:31:35.318+0000] {get_data.py:98} INFO - Opened bill HJRES 128
[2024-06-30T19:31:35.318+0000] {get_data.py:98} INFO - Opened bill HJRES 114
