[2024-04-12T17:44:32.149+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_H001084.json to gs://congress_data/members/member_H001084.json
[2024-04-12T17:44:32.579+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_W000235.json to gs://congress_data/members/member_W000235.json
[2024-04-12T17:44:33.008+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_B001236.json to gs://congress_data/members/member_B001236.json
[2024-04-12T17:44:33.451+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_R000577.json to gs://congress_data/members/member_R000577.json
[2024-04-12T17:44:33.914+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_G000559.json to gs://congress_data/members/member_G000559.json
[2024-04-12T17:44:34.335+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_R000609.json to gs://congress_data/members/member_R000609.json
[2024-04-12T17:44:34.768+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_W000798.json to gs://congress_data/members/member_W000798.json
[2024-04-12T17:44:35.205+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_M001135.json to gs://congress_data/members/member_M001135.json
[2024-04-12T17:44:35.626+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_B001261.json to gs://congress_data/members/member_B001261.json
[2024-04-12T17:44:36.100+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_K000383.json to gs://congress_data/members/member_K000383.json
[2024-04-12T17:44:36.562+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_B001277.json to gs://congress_data/members/member_B001277.json
[2024-04-12T17:44:36.995+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_B001298.json to gs://congress_data/members/member_B001298.json
[2024-04-12T17:44:37.462+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_K000395.json to gs://congress_data/members/member_K000395.json
[2024-04-12T17:44:37.940+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_S001226.json to gs://congress_data/members/member_S001226.json
[2024-04-12T17:44:38.364+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_J000294.json to gs://congress_data/members/member_J000294.json
[2024-04-12T17:44:38.843+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_D000096.json to gs://congress_data/members/member_D000096.json
[2024-04-12T17:44:39.303+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_W000809.json to gs://congress_data/members/member_W000809.json
[2024-04-12T17:44:39.823+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_B000574.json to gs://congress_data/members/member_B000574.json
[2024-04-12T17:44:40.271+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_H001071.json to gs://congress_data/members/member_H001071.json
[2024-04-12T17:44:40.699+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_V000135.json to gs://congress_data/members/member_V000135.json
[2024-04-12T17:44:41.165+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_M001226.json to gs://congress_data/members/member_M001226.json
[2024-04-12T17:44:41.635+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_G000563.json to gs://congress_data/members/member_G000563.json
[2024-04-12T17:44:42.109+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_F000462.json to gs://congress_data/members/member_F000462.json
[2024-04-12T17:44:42.568+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_W000825.json to gs://congress_data/members/member_W000825.json
[2024-04-12T17:44:42.986+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_P000603.json to gs://congress_data/members/member_P000603.json
[2024-04-12T17:44:43.428+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_F000474.json to gs://congress_data/members/member_F000474.json
[2024-04-12T17:44:43.844+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_L000598.json to gs://congress_data/members/member_L000598.json
[2024-04-12T17:44:44.285+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_L000577.json to gs://congress_data/members/member_L000577.json
[2024-04-12T17:44:44.721+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_P000615.json to gs://congress_data/members/member_P000615.json
[2024-04-12T17:44:45.208+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_H001088.json to gs://congress_data/members/member_H001088.json
[2024-04-12T17:44:45.631+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_H001067.json to gs://congress_data/members/member_H001067.json
[2024-04-12T17:44:46.084+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_S001135.json to gs://congress_data/members/member_S001135.json
[2024-04-12T17:44:46.540+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_C001120.json to gs://congress_data/members/member_C001120.json
[2024-04-12T17:44:46.971+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_J000304.json to gs://congress_data/members/member_J000304.json
[2024-04-12T17:44:47.443+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_D000628.json to gs://congress_data/members/member_D000628.json
[2024-04-12T17:44:47.867+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_J000305.json to gs://congress_data/members/member_J000305.json
[2024-04-12T17:44:48.332+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_D000629.json to gs://congress_data/members/member_D000629.json
[2024-04-12T17:44:48.833+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_B001309.json to gs://congress_data/members/member_B001309.json
[2024-04-12T17:44:49.280+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_H001089.json to gs://congress_data/members/member_H001089.json
